,ID,GENDER,RACE_ETHNICITY,PARENTAL_LEVEL_OF_EDUCATION,LUNCH,TEST_PREPARATION_COURSE,MATH_SCORE,READING_SCORE,WRITING_SCORE,TOTAL_SCORE
0,954,female,group C,some college,standard,none,62,69,69,200
1,173,female,group C,associate's degree,standard,none,63,67,70,200
2,190,female,group E,associate's degree,standard,none,66,65,69,200
3,615,female,group C,high school,standard,none,60,68,72,200
4,818,female,group B,high school,free/reduced,none,60,72,68,200
5,592,male,group E,bachelor's degree,standard,none,68,68,64,200
6,354,female,group C,some college,standard,none,59,71,70,200
7,252,female,group B,some high school,standard,completed,60,70,70,200
8,442,female,group A,some high school,free/reduced,none,59,73,69,201
9,663,female,group C,high school,standard,none,65,69,67,201
10,139,male,group D,some college,standard,completed,71,61,69,201
11,630,male,group D,some college,standard,none,67,64,70,201
12,697,female,group A,bachelor's degree,standard,none,59,72,70,201
13,193,male,group D,some college,standard,completed,77,62,62,201
14,747,male,group C,some college,standard,none,69,64,68,201
15,586,female,group A,high school,standard,none,55,73,73,201
16,559,male,group D,some high school,standard,none,73,66,62,201
17,374,female,group D,bachelor's degree,standard,none,59,70,73,202
18,387,female,group C,associate's degree,free/reduced,none,57,78,67,202
19,626,male,group B,associate's degree,free/reduced,completed,69,70,63,202
20,414,female,group C,bachelor's degree,free/reduced,completed,51,72,79,202
21,315,male,group C,high school,standard,none,71,66,65,202
22,661,male,group C,some high school,standard,none,73,66,63,202
23,547,male,group C,high school,standard,completed,72,67,64,203
24,355,female,group B,bachelor's degree,standard,none,61,72,70,203
25,318,male,group B,bachelor's degree,standard,none,63,71,69,203
26,498,female,group B,some high school,standard,none,66,69,68,203
27,431,female,group C,high school,standard,none,61,72,70,203
28,553,male,group D,some college,free/reduced,none,77,62,64,203
29,569,male,group D,bachelor's degree,free/reduced,none,68,68,67,203
30,506,male,group A,high school,standard,none,68,70,66,204
31,313,female,group C,associate's degree,free/reduced,completed,68,67,69,204
32,405,female,group C,some high school,standard,none,63,73,68,204
33,631,male,group B,high school,standard,none,79,60,65,204
34,922,male,group D,high school,standard,none,72,66,66,204
35,743,female,group C,associate's degree,standard,completed,59,73,72,204
36,909,male,group E,bachelor's degree,standard,completed,70,64,70,204
37,714,female,group B,some high school,standard,completed,60,70,74,204
38,183,female,group D,associate's degree,standard,none,65,69,70,204
39,965,female,group D,some college,standard,none,62,70,72,204
40,476,male,group E,bachelor's degree,standard,completed,76,62,66,204
41,915,female,group E,some college,standard,none,68,70,66,204
42,228,male,group A,some high school,free/reduced,none,68,72,64,204
43,720,female,group C,some college,free/reduced,none,62,72,70,204
44,467,male,group A,high school,free/reduced,completed,72,67,65,204
45,850,male,group C,master's degree,standard,none,71,67,67,205
46,949,female,group E,high school,free/reduced,completed,57,75,73,205
47,180,male,group C,master's degree,free/reduced,completed,62,68,75,205
48,305,male,group A,some college,standard,none,69,67,69,205
49,932,male,group D,associate's degree,free/reduced,completed,61,71,73,205
50,255,female,group E,some college,standard,none,62,73,70,205
51,256,female,group C,associate's degree,free/reduced,none,64,73,68,205
52,459,male,group B,high school,standard,completed,72,65,68,205
53,751,male,group E,some college,standard,none,68,72,65,205
54,97,female,group E,some college,standard,completed,63,72,70,205
55,28,male,group C,high school,standard,none,70,70,65,205
56,427,male,group C,some high school,free/reduced,none,69,71,65,205
57,434,male,group C,some high school,standard,none,73,66,66,205
58,529,female,group C,associate's degree,standard,none,62,74,70,206
59,664,male,group D,associate's degree,standard,none,80,63,63,206
60,619,male,group C,associate's degree,free/reduced,completed,65,73,68,206
61,556,female,group C,associate's degree,standard,completed,55,72,79,206
62,920,male,group D,high school,free/reduced,none,69,70,67,206
63,67,female,group C,some college,standard,none,60,72,74,206
64,206,male,group E,bachelor's degree,standard,none,82,62,62,206
65,471,female,group C,high school,standard,none,63,69,74,206
66,273,female,group D,some college,standard,none,65,70,71,206
67,343,male,group D,associate's degree,standard,completed,67,72,67,206
68,230,male,group D,some college,standard,none,76,64,66,206
69,109,female,group B,some high school,standard,none,70,64,72,206
70,147,male,group C,associate's degree,free/reduced,none,73,68,66,207
71,78,female,group D,some high school,standard,completed,61,74,72,207
72,817,male,group D,bachelor's degree,free/reduced,completed,61,70,76,207
73,436,male,group D,associate's degree,standard,none,75,68,64,207
74,126,male,group B,some high school,standard,none,72,68,67,207
75,595,female,group C,bachelor's degree,standard,completed,56,79,72,207
76,666,female,group C,some college,free/reduced,completed,63,73,71,207
77,386,female,group E,bachelor's degree,standard,none,64,73,70,207
78,48,female,group D,associate's degree,free/reduced,completed,57,74,76,207
79,240,male,group D,high school,free/reduced,completed,73,68,66,207
80,29,female,group D,master's degree,standard,none,62,70,75,207
81,992,female,group D,associate's degree,free/reduced,none,55,76,76,207
82,750,male,group D,some high school,standard,completed,71,69,68,208
83,668,male,group C,some college,standard,none,73,74,61,208
84,800,male,group C,some high school,standard,completed,67,73,68,208
85,993,female,group D,bachelor's degree,free/reduced,none,62,72,74,208
86,882,female,group B,high school,free/reduced,none,64,73,71,208
87,530,female,group C,associate's degree,standard,completed,68,67,73,208
88,656,male,group C,associate's degree,free/reduced,none,77,67,64,208
89,776,female,group B,high school,standard,none,66,72,70,208
90,856,male,group B,some college,free/reduced,none,75,68,65,208
91,888,female,group D,some college,free/reduced,none,69,65,74,208
92,653,female,group A,associate's degree,standard,completed,65,70,74,209
93,792,male,group D,high school,free/reduced,none,66,74,69,209
94,605,male,group C,some high school,standard,none,75,72,62,209
95,635,male,group A,high school,standard,none,71,74,64,209
96,487,female,group C,associate's degree,free/reduced,none,60,75,74,209
97,670,female,group C,high school,free/reduced,none,66,76,68,210
98,567,female,group D,master's degree,free/reduced,completed,61,71,78,210
99,392,male,group E,some college,standard,none,76,67,67,210
100,875,male,group C,some college,free/reduced,none,80,64,66,210
101,534,male,group B,high school,standard,completed,73,69,68,210
102,853,male,group E,some high school,standard,none,82,67,61,210
103,940,male,group C,master's degree,free/reduced,completed,72,66,72,210
104,21,female,group B,some college,free/reduced,completed,65,75,70,210
105,827,female,group C,some high school,standard,none,65,69,76,210
106,766,female,group C,high school,standard,completed,58,75,77,210
107,796,male,group D,high school,standard,none,70,70,70,210
108,757,male,group E,bachelor's degree,free/reduced,completed,70,68,72,210
109,942,male,group C,high school,standard,none,81,66,64,211
110,27,female,group C,bachelor's degree,standard,none,67,69,75,211
111,930,male,group C,some college,free/reduced,completed,67,74,70,211
112,561,female,group C,some college,standard,none,63,74,74,211
113,968,female,group E,associate's degree,standard,none,68,76,67,211
114,881,female,group E,bachelor's degree,standard,completed,71,70,70,211
115,90,female,group C,bachelor's degree,standard,none,65,72,74,211
116,878,female,group D,some high school,standard,none,59,72,80,211
117,167,female,group B,master's degree,free/reduced,completed,58,76,78,212
118,169,female,group C,some college,free/reduced,completed,67,75,70,212
119,480,male,group B,high school,standard,completed,73,71,68,212
120,151,male,group A,bachelor's degree,standard,none,77,67,68,212
121,540,male,group C,high school,standard,completed,75,69,68,212
122,924,male,group D,high school,free/reduced,none,74,70,69,213
123,293,female,group E,bachelor's degree,standard,none,65,73,75,213
124,297,male,group E,associate's degree,standard,completed,71,74,68,213
125,497,female,group D,some college,free/reduced,completed,59,78,76,213
126,806,female,group D,some college,free/reduced,none,64,74,75,213
127,517,female,group E,some college,standard,completed,66,74,73,213
128,100,male,group B,some college,standard,none,79,67,67,213
129,218,male,group B,high school,free/reduced,none,66,77,70,213
130,416,male,group C,bachelor's degree,standard,completed,71,74,68,213
131,47,female,group C,high school,standard,none,66,71,76,213
132,680,female,group D,high school,standard,none,67,72,74,213
133,768,female,group D,some high school,standard,none,68,71,75,214
134,908,female,group C,bachelor's degree,free/reduced,none,67,75,72,214
